"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 27 23:07:54 CST 2021","Sat Mar 27 23:07:58 CST 2021","4489","","","","","","For websocket api testing -- @1.5 different valid parm",""
"passed","Sat Mar 27 23:07:58 CST 2021","Sat Mar 27 23:08:03 CST 2021","4188","","","","","","For websocket api testing -- @1.6 different valid parm",""
"passed","Sat Mar 27 23:06:45 CST 2021","Sat Mar 27 23:06:46 CST 2021","918","","","","","","for rest api illegal -- @1.8 different invalid parameters",""
"passed","Sat Mar 27 23:06:42 CST 2021","Sat Mar 27 23:06:43 CST 2021","889","","","","","","for rest api illegal -- @1.4 different invalid parameters",""
"passed","Sat Mar 27 23:06:57 CST 2021","Sat Mar 27 23:06:59 CST 2021","1582","","","","","","for rest api testing -- @2.6 different valid timeframe",""
"passed","Sat Mar 27 23:06:46 CST 2021","Sat Mar 27 23:06:48 CST 2021","1256","","","","","","for rest api testing -- @1.1 different valid instrument_name",""
"passed","Sat Mar 27 23:07:24 CST 2021","Sat Mar 27 23:07:31 CST 2021","6454","","","","","","For websocket api testing -- @1.3 different invalid parm",""
"passed","Sat Mar 27 23:07:01 CST 2021","Sat Mar 27 23:07:03 CST 2021","1454","","","","","","for rest api testing -- @2.9 different valid timeframe",""
"passed","Sat Mar 27 23:07:16 CST 2021","Sat Mar 27 23:07:24 CST 2021","8413","","","","","","For websocket api testing -- @1.2 different invalid parm",""
"passed","Sat Mar 27 23:07:04 CST 2021","Sat Mar 27 23:07:05 CST 2021","879","","","","","","for rest api testing -- @2.11 different valid timeframe",""
"passed","Sat Mar 27 23:07:42 CST 2021","Sat Mar 27 23:07:46 CST 2021","4421","","","","","","For websocket api testing -- @1.2 different valid parm",""
"passed","Sat Mar 27 23:06:53 CST 2021","Sat Mar 27 23:06:55 CST 2021","1285","","","","","","for rest api testing -- @2.3 different valid timeframe",""
"passed","Sat Mar 27 23:07:00 CST 2021","Sat Mar 27 23:07:01 CST 2021","1283","","","","","","for rest api testing -- @2.8 different valid timeframe",""
"passed","Sat Mar 27 23:06:39 CST 2021","Sat Mar 27 23:06:41 CST 2021","1730","","","","","","for rest api illegal -- @1.2 different invalid parameters",""
"passed","Sat Mar 27 23:06:55 CST 2021","Sat Mar 27 23:06:56 CST 2021","1349","","","","","","for rest api testing -- @2.4 different valid timeframe",""
"passed","Sat Mar 27 23:07:03 CST 2021","Sat Mar 27 23:07:04 CST 2021","922","","","","","","for rest api testing -- @2.10 different valid timeframe",""
"passed","Sat Mar 27 23:08:03 CST 2021","Sat Mar 27 23:08:08 CST 2021","5246","","","","","","For websocket api testing -- @1.7 different valid parm",""
"passed","Sat Mar 27 23:07:50 CST 2021","Sat Mar 27 23:07:54 CST 2021","3879","","","","","","For websocket api testing -- @1.4 different valid parm",""
"passed","Sat Mar 27 23:06:48 CST 2021","Sat Mar 27 23:06:49 CST 2021","1228","","","","","","for rest api testing -- @1.2 different valid instrument_name",""
"passed","Sat Mar 27 23:07:06 CST 2021","Sat Mar 27 23:07:16 CST 2021","10177","","","","","","For websocket api testing -- @1.1 different invalid parm",""
"passed","Sat Mar 27 23:07:31 CST 2021","Sat Mar 27 23:07:37 CST 2021","6411","","","","","","For websocket api testing -- @1.4 different invalid parm",""
"passed","Sat Mar 27 23:07:37 CST 2021","Sat Mar 27 23:07:42 CST 2021","4854","","","","","","For websocket api testing -- @1.1 different valid parm",""
"passed","Sat Mar 27 23:06:49 CST 2021","Sat Mar 27 23:06:51 CST 2021","2275","","","","","","for rest api testing -- @2.1 different valid timeframe",""
"passed","Sat Mar 27 23:06:51 CST 2021","Sat Mar 27 23:06:53 CST 2021","2261","","","","","","for rest api testing -- @2.2 different valid timeframe",""
"passed","Sat Mar 27 23:06:41 CST 2021","Sat Mar 27 23:06:42 CST 2021","944","","","","","","for rest api illegal -- @1.3 different invalid parameters",""
"passed","Sat Mar 27 23:06:59 CST 2021","Sat Mar 27 23:07:00 CST 2021","1240","","","","","","for rest api testing -- @2.7 different valid timeframe",""
"passed","Sat Mar 27 23:06:43 CST 2021","Sat Mar 27 23:06:44 CST 2021","900","","","","","","for rest api illegal -- @1.5 different invalid parameters",""
"passed","Sat Mar 27 23:06:44 CST 2021","Sat Mar 27 23:06:45 CST 2021","868","","","","","","for rest api illegal -- @1.7 different invalid parameters",""
"passed","Sat Mar 27 23:07:05 CST 2021","Sat Mar 27 23:07:06 CST 2021","943","","","","","","for rest api testing -- @2.12 different valid timeframe",""
"passed","Sat Mar 27 23:06:38 CST 2021","Sat Mar 27 23:06:39 CST 2021","984","","","","","","for rest api illegal -- @1.1 different invalid parameters",""
"passed","Sat Mar 27 23:07:46 CST 2021","Sat Mar 27 23:07:50 CST 2021","3735","","","","","","For websocket api testing -- @1.3 different valid parm",""
"passed","Sat Mar 27 23:06:44 CST 2021","Sat Mar 27 23:06:44 CST 2021","885","","","","","","for rest api illegal -- @1.6 different invalid parameters",""
"passed","Sat Mar 27 23:06:56 CST 2021","Sat Mar 27 23:06:57 CST 2021","1317","","","","","","for rest api testing -- @2.5 different valid timeframe",""
